Column,Correlation_with_MathScore,Abs_Correlation
IC001,0.2415135477768171,0.2415135477768171
science_q1_average_score,0.23961332250330966,0.23961332250330966
reading_q5_average_score,0.23946013747709366,0.23946013747709366
reading_q11_total_timing,0.23579875999871414,0.23579875999871414
reading_q8_average_score,0.2351698164723371,0.2351698164723371
ST251,0.233906641202294,0.233906641202294
reading_q2_average_score,0.23326746012147986,0.23326746012147986
ST255,0.22980694517093075,0.22980694517093075
OECD,0.2224558773291479,0.2224558773291479
IC180,0.21987253471122856,0.21987253471122856
IC182,0.2151096525389048,0.2151096525389048
IC173,0.21499901737366756,0.21499901737366756
ST059,0.21089089856772258,0.21089089856772258
IC171,0.2106690693010362,0.2106690693010362
ST331,0.21010359502057022,0.21010359502057022
IC014,0.20712292916603905,0.20712292916603905
science_q3_average_score,0.19243228165441265,0.19243228165441265
ST342,0.191530942816799,0.191530942816799
ST336,0.1858198692098285,0.1858198692098285
ST355,0.18174411277365335,0.18174411277365335
ST296,0.18128796550798607,0.18128796550798607
ST348,0.17955851013778343,0.17955851013778343
science_q12_total_timing,0.17768137323180846,0.17768137323180846
ST258,-0.17728921902443218,0.17728921902443218
ST230,-0.17686565928133396,0.17686565928133396
OCOD1,-0.17419907006892818,0.17419907006892818
ST340,0.16931485500168053,0.16931485500168053
ST163,-0.16902516763959033,0.16902516763959033
ST127,-0.1630871801948984,0.1630871801948984
ST177,0.1614310334145366,0.1614310334145366
ST005,0.1604931394121647,0.1604931394121647
ST327,0.1593310354703284,0.1593310354703284
ST007,0.15658862150804853,0.15658862150804853
ST275,0.1547160073461851,0.1547160073461851
Option_ICTQ,0.15418451840210096,0.15418451840210096
MISSSC,-0.1503864291049337,0.1503864291049337
ST165,0.1404131503232162,0.1404131503232162
math_q7_total_timing,0.13694736681267988,0.13694736681267988
OCOD2,-0.1355294657508564,0.1355294657508564
reading_q9_total_timing,0.13467718493721514,0.13467718493721514
OCOD3,-0.13395454874988447,0.13395454874988447
ST164,0.13376226367470195,0.13376226367470195
ST345,0.1302968591476991,0.1302968591476991
ST188,0.12982853811789322,0.12982853811789322
IC175,0.12704978681174503,0.12704978681174503
ST223,-0.12687682220057533,0.12687682220057533
ST300,0.12649375358466078,0.12649375358466078
FL164,0.1233574512213066,0.1233574512213066
ST351,0.12193250675027559,0.12193250675027559
science_q3_total_timing,0.11965958229161983,0.11965958229161983
FL160,0.11847566586883497,0.11847566586883497
ST311,0.11743051638970022,0.11743051638970022
ST354,0.11533727456998703,0.11533727456998703
math_q13_total_timing,-0.11449917856024515,0.11449917856024515
ST161,0.11304930511821784,0.11304930511821784
GRADE,0.11215263214450333,0.11215263214450333
ST036,0.11204148357672072,0.11204148357672072
ST353,-0.11149392721501467,0.11149392721501467
ST008.1,0.11062330580202925,0.11062330580202925
ST307,0.11010362364434274,0.11010362364434274
reading_q7_total_timing,0.10983031252844266,0.10983031252844266
IC184,0.10939937063857269,0.10939937063857269
math_q1_total_timing,0.10920846280902281,0.10920846280902281
ST006.1,0.1089127570605933,0.1089127570605933
ST208,0.10868090051698093,0.10868090051698093
MATHEASE,0.10782606806575615,0.10782606806575615
ST266,-0.10737810375603374,0.10737810375603374
ST212,0.10692258610084783,0.10692258610084783
ST322,0.10432696226363194,0.10432696226363194
ST034,0.10361295521297434,0.10361295521297434
EFFORT2,0.10302552267698435,0.10302552267698435
FL162,0.09975363378531747,0.09975363378531747
PA195,0.09975336671749205,0.09975336671749205
FL169,0.09914963580055376,0.09914963580055376
EC153,0.09868782917535893,0.09868782917535893
ST183,0.09845196248312536,0.09845196248312536
math_q14_total_timing,-0.0977186788300465,0.0977186788300465
ST006,0.09573719610076079,0.09573719610076079
ST152,0.09544007704604904,0.09544007704604904
science_q2_total_timing,0.09503701118351478,0.09503701118351478
ST113,0.09485441689086328,0.09485441689086328
math_q8_total_timing,0.09483404977594662,0.09483404977594662
ST008,0.09385651095794878,0.09385651095794878
ISCEDP,0.09302319006667178,0.09302319006667178
ST125,-0.09272982843083136,0.09272982843083136
Option_PQ,0.09253301285104598,0.09253301285104598
ST150,0.09155256825731772,0.09155256825731772
ST301,0.09141933560609891,0.09141933560609891
math_q10_total_timing,0.09008473455502786,0.09008473455502786
ST062,-0.08933058990784451,0.08933058990784451
ST270,0.0885610015392065,0.0885610015392065
IC177,0.08836259145688322,0.08836259145688322
LANGTEST_PAQ,0.08690025528286144,0.08690025528286144
PA032,0.08675972082144678,0.08675972082144678
reading_q8_total_timing,0.08566610317450657,0.08566610317450657
WB160,0.08556651888860879,0.08556651888860879
ST305,0.08438775154034674,0.08438775154034674
math_q16_total_timing,-0.08286997411382259,0.08286997411382259
reading_q12_total_timing,0.08146161714166028,0.08146161714166028
ST343,0.08037086444277103,0.08037086444277103
science_q4_total_timing,0.07831184209408162,0.07831184209408162
math_q15_total_timing,-0.07812418973339474,0.07812418973339474
ST213,0.07718725464104728,0.07718725464104728
ST211,0.076243102670592,0.076243102670592
ST226,0.07545538344645661,0.07545538344645661
PA041,0.07510681063514266,0.07510681063514266
WB165,-0.07451403623053922,0.07451403623053922
ST167,0.0739340021834152,0.0739340021834152
ST038,-0.07280901804460699,0.07280901804460699
ST263,-0.07256475920067693,0.07256475920067693
PA033,0.07195536622919077,0.07195536622919077
PA166,0.06661923987623596,0.06661923987623596
PA042,0.06606741144711926,0.06606741144711926
EC012,-0.06555561583607047,0.06555561583607047
reading_q10_total_timing,0.0655541310546262,0.0655541310546262
ST283,0.06542367728026713,0.06542367728026713
PA002,0.06490062770088556,0.06490062770088556
PA182,0.06480580164178343,0.06480580164178343
WB153,0.06473595917643532,0.06473595917643532
FL167,0.06124688022994032,0.06124688022994032
Option_FL,0.06045495575532617,0.06045495575532617
WB168,0.05777901133479478,0.05777901133479478
CNTSTUID,0.057077559242475616,0.057077559242475616
ST273,-0.05673081146467617,0.05673081146467617
PA175,-0.056641321923170306,0.056641321923170306
ST175,0.05663807269935054,0.05663807269935054
CNTSCHID,0.056422748634282295,0.056422748634282295
CNTRYID,0.05641906170878262,0.05641906170878262
math_q11_total_timing,0.05608821446071667,0.05608821446071667
WB166,0.05526207947011928,0.05526207947011928
Option_UH,0.0548022895339154,0.0548022895339154
Option_TQ,0.05393853906853487,0.05393853906853487
math_q9_total_timing,0.05388832050478936,0.05388832050478936
ADMINMODE,0.052064712133382984,0.052064712133382984
EC162,0.051380938763943056,0.051380938763943056
math_q6_total_timing,0.05026495495520042,0.05026495495520042
math_q4_total_timing,0.05017035098191204,0.05017035098191204
PA183,-0.049929867861702976,0.049929867861702976
PA018,0.04865807092185754,0.04865807092185754
PA009,-0.048413311284578514,0.048413311284578514
ST168,0.04808613245690031,0.04808613245690031
PA159,0.0476096716772846,0.0476096716772846
PA008.1,0.04632913766111267,0.04632913766111267
ST158,0.04620311906267153,0.04620311906267153
ST146,0.04596233993746169,0.04596233993746169
SUBNATIO,0.045599505414391624,0.045599505414391624
science_q5_total_timing,0.0453100075270586,0.0453100075270586
ST297,-0.04361506858572356,0.04361506858572356
PA177,0.04252199819976996,0.04252199819976996
Option_WBQ,0.04184393204030695,0.04184393204030695
FL166,0.041237587905226275,0.041237587905226275
ST330,0.04088526065167463,0.04088526065167463
ST338,-0.040236008450587786,0.040236008450587786
ST267,0.04019176757158778,0.04019176757158778
science_q10_total_timing,0.039259397269695295,0.039259397269695295
ST100,0.039083507897142704,0.039083507897142704
reading_q2_total_timing,0.03789750368881412,0.03789750368881412
math_q3_total_timing,0.03773146015225946,0.03773146015225946
EC163,0.03759317879582588,0.03759317879582588
PA160,0.03589003924818484,0.03589003924818484
ST004D01T,0.03565940420019503,0.03565940420019503
PA158,0.0350674398358677,0.0350674398358677
science_q11_total_timing,0.03426909899239613,0.03426909899239613
ST102,-0.03259776128996423,0.03259776128996423
COBN_S,-0.03256810275000569,0.03256810275000569
math_q12_total_timing,0.03126820660171922,0.03126820660171922
PA162,0.030661045655573756,0.030661045655573756
IMMIG,0.028681150476402368,0.028681150476402368
WB154,-0.02805608433323392,0.02805608433323392
ST097,-0.02617217724613354,0.02617217724613354
PA004,0.025611061053278816,0.025611061053278816
PA197,0.025394799061895002,0.025394799061895002
PA167,0.025047310563265934,0.025047310563265934
PA154,0.024538811106780724,0.024538811106780724
reading_q6_total_timing,-0.023790211084134306,0.023790211084134306
FL170,0.023591132409695927,0.023591132409695927
ST104,0.023153760621410564,0.023153760621410564
ST347,0.02308246138904792,0.02308246138904792
EC031,-0.022711812930943872,0.022711812930943872
math_q2_total_timing,0.022199638310564877,0.022199638310564877
reading_q3_total_timing,0.02214806051035276,0.02214806051035276
ST260,-0.0219097128601784,0.0219097128601784
PA003,0.02148706259871295,0.02148706259871295
reading_q1_total_timing,-0.02068562038985011,0.02068562038985011
IC174,0.020438191942299934,0.020438191942299934
ST352,0.019259407998748253,0.019259407998748253
ST003D02T,-0.01747386776189989,0.01747386776189989
science_q6_total_timing,0.016803732594015894,0.016803732594015894
science_q7_total_timing,0.016686850586421564,0.016686850586421564
ST350,-0.01639928171337618,0.01639928171337618
ST160,-0.016168577227016426,0.016168577227016426
PA007,0.015726377572143166,0.015726377572143166
reading_q4_total_timing,0.015355424970827822,0.015355424970827822
Option_CT,-0.014811676614288855,0.014811676614288855
FL150,0.013872905237246588,0.013872905237246588
WB162,0.013693083811726193,0.013693083811726193
PA196,0.013296302376687363,0.013296302376687363
ST098,-0.01198865452762779,0.01198865452762779
PA186,-0.011835584534357377,0.011835584534357377
ST001D01T,-0.011305810001906171,0.011305810001906171
AGE,0.011049600917757125,0.011049600917757125
math_q5_total_timing,0.010641287051351332,0.010641287051351332
science_q1_total_timing,-0.009348836657406373,0.009348836657406373
PA156,0.009323548779037117,0.009323548779037117
science_q8_total_timing,0.009045564278111947,0.009045564278111947
WB178,0.008429597808843269,0.008429597808843269
PA008,0.007424104173993282,0.007424104173993282
WB155,0.006531971095073443,0.006531971095073443
EFFORT1,0.006409077891933399,0.006409077891933399
reading_q5_total_timing,-0.006064033018746651,0.006064033018746651
PA188,0.004895865327363868,0.004895865327363868
LANGTEST_QQQ,0.0042160794664245,0.0042160794664245
WB177,0.0033240865538638857,0.0033240865538638857
WB164,-0.0032247624924331667,0.0032247624924331667
ST153,0.002351016896324557,0.002351016896324557
science_q9_total_timing,-0.0020384670455767108,0.0020384670455767108
ST021,0.0018805374999699147,0.0018805374999699147
WB163,0.001710514684723451,0.001710514684723451
WB176,-0.0014247631031681714,0.0014247631031681714
LANGTEST_COG,0.0013856985074040113,0.0013856985074040113
PA006,-0.0013405481057698013,0.0013405481057698013
NatCen,-0.0009429648025458679,0.0009429648025458679
