Colonne,Type,Valeurs_Non_Nulles,Valeurs_Nulles,Pct_Manquant,Pct_Remplissage,Valeurs_Uniques,Exemple_Valeur
WB162,float64,411320,760766,64.91,35.09,138,
WB155,float64,411320,760766,64.91,35.09,59,
PA158,float64,411320,760766,64.91,35.09,22,
ST150,float64,411320,760766,64.91,35.09,14,
EC163,float64,411320,760766,64.91,35.09,8,
ST273,float64,411320,760766,64.91,35.09,22,
PA177,float64,411320,760766,64.91,35.09,9,
ST167,float64,411320,760766,64.91,35.09,21,
PA004,float64,411320,760766,64.91,35.09,10,
PA160,float64,411320,760766,64.91,35.09,21,
ST260,float64,411320,760766,64.91,35.09,3,
ST251,float64,411320,760766,64.91,35.09,32,
ST327,float64,411320,760766,64.91,35.09,7,
ST213,float64,411320,760766,64.91,35.09,14,
IC014,float64,411320,760766,64.91,35.09,22,
WB178,float64,411320,760766,64.91,35.09,8,
ST158,float64,411320,760766,64.91,35.09,8,
WB176,float64,411320,760766,64.91,35.09,5,
ST211,float64,411320,760766,64.91,35.09,10,
PA175,float64,411320,760766,64.91,35.09,3,
ST175,float64,411320,760766,64.91,35.09,5,
ST165,float64,411320,760766,64.91,35.09,43,
ST208,float64,411320,760766,64.91,35.09,13,
PA018,float64,411320,760766,64.91,35.09,4,
ST036,float64,411320,760766,64.91,35.09,10,
ST300,float64,411320,760766,64.91,35.09,10,
PA159,float64,411320,760766,64.91,35.09,5,
PA007,float64,411320,760766,64.91,35.09,105,
PA156,float64,411320,760766,64.91,35.09,14,
PA154,float64,411320,760766,64.91,35.09,59,
ST212,float64,411320,760766,64.91,35.09,10,
EC153,float64,411320,760766,64.91,35.09,77,
ST059,float64,411320,760766,64.91,35.09,232,
ST102,float64,411320,760766,64.91,35.09,14,
PA182,float64,411320,760766,64.91,35.09,7,
ST188,float64,411320,760766,64.91,35.09,22,
ST153,float64,411320,760766,64.91,35.09,10,
ST161,float64,411320,760766,64.91,35.09,30,
ST168,float64,411320,760766,64.91,35.09,4,
ST160,float64,411320,760766,64.91,35.09,22,
ST307,float64,411320,760766,64.91,35.09,14,
PA009,float64,411320,760766,64.91,35.09,12,
IC182,float64,412647,759439,64.79,35.21,10,0.0
PA188,float64,412647,759439,64.79,35.21,47,0.0
ST283,float64,412647,759439,64.79,35.21,22,1.75
ST256,float64,412647,759439,64.79,35.21,33,5.25
WB166,float64,412647,759439,64.79,35.21,14,1.0
FL150,float64,412647,759439,64.79,35.21,4,2.0
ST266,float64,412647,759439,64.79,35.21,6,1.0
ST338,float64,412647,759439,64.79,35.21,67,0.0
FL164,float64,412647,759439,64.79,35.21,33,14.0
ST267,float64,412647,759439,64.79,35.21,32,3.0
IC176,float64,412647,759439,64.79,35.21,33,0.0
ST351,float64,412647,759439,64.79,35.21,32,0.0
ST342,float64,412647,759439,64.79,35.21,22,0.0
ST355,float64,412647,759439,64.79,35.21,32,0.0
FL166,float64,412647,759439,64.79,35.21,13,0.5
ST352,float64,412647,759439,64.79,35.21,32,0.0
ST354,float64,412647,759439,64.79,35.21,53,0.0
PA167,float64,412647,759439,64.79,35.21,14,0.0
FL162,float64,412647,759439,64.79,35.21,30,3.6666666666666665
ST311,float64,412647,759439,64.79,35.21,23,3.25
ST253,float64,412647,759439,64.79,35.21,8,1.0
IC180,float64,412647,759439,64.79,35.21,32,0.0
WB153,float64,412647,759439,64.79,35.21,21,2.5
ST350,float64,412647,759439,64.79,35.21,3,0.0
ISCEDP,float64,412645,759441,64.79,35.21,7,244.0
PA195,float64,412647,759439,64.79,35.21,7,0.0
ST258,float64,412647,759439,64.79,35.21,5,0.0
ST330,float64,412647,759439,64.79,35.21,11,0.0
FL169,float64,412647,759439,64.79,35.21,60,0.0
ST230,float64,412647,759439,64.79,35.21,4,0.6666666666666666
ST331,float64,412647,759439,64.79,35.21,45,0.0
WB168,float64,412647,759439,64.79,35.21,14,1.0
ST305,float64,412647,759439,64.79,35.21,41,2.25
FL170,float64,412647,759439,64.79,35.21,29,1.25
FL160,float64,412647,759439,64.79,35.21,14,2.333333333333333
IC184,float64,412647,759439,64.79,35.21,31,0.0
PA197,float64,412647,759439,64.79,35.21,6,0.0
ST345,float64,412647,759439,64.79,35.21,22,2.0
ST340,float64,412647,759439,64.79,35.21,23,0.0
IC175,float64,412647,759439,64.79,35.21,17,0.0
IC172,float64,412647,759439,64.79,35.21,48,0.0
ST322,float64,412647,759439,64.79,35.21,43,1.6
ST275,float64,412647,759439,64.79,35.21,44,1.6666666666666663
IC183,float64,412647,759439,64.79,35.21,328,0.0
PA196,float64,412647,759439,64.79,35.21,14,0.0
ST289,float64,412647,759439,64.79,35.21,23,0.0
PA006,float64,412647,759439,64.79,35.21,123,0.0
ST347,float64,412647,759439,64.79,35.21,13,0.0
IC177,float64,412647,759439,64.79,35.21,77,0.0
ST268,float64,412647,759439,64.79,35.21,48,3.0
ST343,float64,412647,759439,64.79,35.21,22,2.0
Option_CT,float64,412647,759439,64.79,35.21,2,1.0
Option_WBQ,float64,412647,759439,64.79,35.21,2,1.0
FL167,float64,412647,759439,64.79,35.21,41,2.666666666666667
WB160,float64,412647,759439,64.79,35.21,3,0.5
ST336,float64,412647,759439,64.79,35.21,22,0.0
ST226,float64,412647,759439,64.79,35.21,5,1.0
PA186,float64,412647,759439,64.79,35.21,65,0.0
ST301,float64,412647,759439,64.79,35.21,41,3.5
ST348,float64,412647,759439,64.79,35.21,32,0.0
ST290,float64,412647,759439,64.79,35.21,44,3.333333333333333
math_q11_total_timing,float64,440820,731266,62.39,37.61,303571,
math_q11_average_score,float64,442752,729334,62.23,37.77,77,
science_q9_total_timing,float64,443187,728899,62.19,37.81,331531,105785.66666666669
science_q9_average_score,float64,473122,698964,59.63,40.37,11,0.5
math_q10_total_timing,float64,518532,653554,55.76,44.24,345540,88274.66666666667
reading_q7_total_timing,float64,530495,641591,54.74,45.26,457449,
math_q10_average_score,float64,530955,641131,54.7,45.3,97,0.3333333333333333
reading_q7_average_score,float64,543953,628133,53.59,46.41,254,
science_q8_total_timing,float64,555369,616717,52.62,47.38,401739,132623.25
science_q7_total_timing,float64,586121,585965,49.99,50.01,398338,104190.5
math_q9_total_timing,float64,586894,585192,49.93,50.07,377968,37232.0
science_q8_average_score,float64,592481,579605,49.45,50.55,11,0.3333333333333333
reading_q6_total_timing,float64,603037,569049,48.55,51.45,512865,
math_q9_average_score,float64,606061,566025,48.29,51.71,94,1.0
math_q8_total_timing,float64,608654,563432,48.07,51.93,379827,63689.4
science_q6_total_timing,float64,611049,561037,47.87,52.13,428097,56623.25
reading_q5_total_timing,float64,625073,547013,46.67,53.33,542795,
science_q5_total_timing,float64,629437,542649,46.3,53.7,450916,68912.0
math_q7_total_timing,float64,630669,541417,46.19,53.81,369314,98875.0
math_q8_average_score,float64,633849,538237,45.92,54.08,85,0.5
science_q4_total_timing,float64,638754,533332,45.5,54.5,472202,73547.6
reading_q4_total_timing,float64,639332,532754,45.45,54.55,557756,
science_q3_total_timing,float64,641109,530977,45.3,54.7,482596,66612.0
math_q6_total_timing,float64,641475,530611,45.27,54.73,354610,71813.5
science_q2_total_timing,float64,642250,529836,45.2,54.8,477287,90156.0
science_q1_total_timing,float64,642668,529418,45.17,54.83,445776,84299.33333333333
science_q7_average_score,float64,642756,529330,45.16,54.84,11,0.5
reading_q6_average_score,float64,648450,523636,44.68,55.32,287,
reading_q3_total_timing,float64,655128,516958,44.11,55.89,544710,
math_q5_total_timing,float64,658387,513699,43.83,56.17,363496,96368.33333333331
reading_q2_total_timing,float64,660069,512017,43.68,56.32,523527,
reading_q1_total_timing,float64,660795,511291,43.62,56.38,501113,
math_q7_average_score,float64,664170,507916,43.33,56.67,79,0.0
math_q4_total_timing,float64,671149,500937,42.74,57.26,421766,110641.33333333331
science_q6_average_score,float64,676374,495712,42.29,57.71,11,0.6666666666666666
math_q3_total_timing,float64,677483,494603,42.2,57.8,415681,162720.0
math_q2_total_timing,float64,678731,493355,42.09,57.91,428280,23055.25
math_q1_total_timing,float64,679345,492741,42.04,57.96,401023,18736.0
reading_q5_average_score,float64,679335,492751,42.04,57.96,290,
math_q6_average_score,float64,681869,490217,41.82,58.18,69,1.0
EFFORT2,float64,684199,487887,41.63,58.37,10,8.0
EFFORT1,float64,690553,481533,41.08,58.92,10,8.0
science_q5_average_score,float64,697550,474536,40.49,59.51,11,0.0
reading_q4_average_score,float64,699502,472584,40.32,59.68,319,
math_q5_average_score,float64,703811,468275,39.95,60.05,60,0.0
science_q4_average_score,float64,709819,462267,39.44,60.56,13,0.3333333333333333
IMMIG,float64,710868,461218,39.35,60.65,3,2.0
science_q3_average_score,float64,715426,456660,38.96,61.04,13,0.0
science_q2_average_score,float64,717804,454282,38.76,61.24,13,0.5
science_q1_average_score,float64,719115,452971,38.65,61.35,13,0.0
math_q4_average_score,float64,719885,452201,38.58,61.42,95,0.5
reading_q3_average_score,float64,722094,449992,38.39,61.61,330,
reading_q2_average_score,float64,729378,442708,37.77,62.23,311,
math_q3_average_score,float64,730610,441476,37.67,62.33,93,1.0
reading_q1_average_score,float64,732238,439848,37.53,62.47,257,
math_q2_average_score,float64,733844,438242,37.39,62.61,100,0.25
math_q1_average_score,float64,735735,436351,37.23,62.77,96,0.6666666666666666
Option_FL,float64,760766,411320,35.09,64.91,2,1.0
Option_ICTQ,float64,760766,411320,35.09,64.91,2,0.0
Option_PQ,float64,760766,411320,35.09,64.91,2,0.0
Option_TQ,float64,760766,411320,35.09,64.91,2,0.0
Option_UH,float64,760766,411320,35.09,64.91,2,1.0
GRADE,float64,805483,366603,31.28,68.72,9,0.0
ST296,float64,823967,348119,29.7,70.3,156,1.0
WB164,float64,823967,348119,29.7,70.3,4,0.0
IC170,float64,823967,348119,29.7,70.3,90,0.0
ST007,float64,823967,348119,29.7,70.3,5,1.0
WB163,float64,823967,348119,29.7,70.3,17,6.5
ST254,float64,823967,348119,29.7,70.3,64,3.333333333333333
ST062,float64,823967,348119,29.7,70.3,10,0.3333333333333333
PA166,float64,823967,348119,29.7,70.3,4,0.0
ST270,float64,823967,348119,29.7,70.3,14,1.6666666666666663
ST349,float64,823967,348119,29.7,70.3,49,0.0
ST353,float64,823967,348119,29.7,70.3,47,0.0
ST250,float64,823967,348119,29.7,70.3,14,4.0
ST021,float64,823967,348119,29.7,70.3,17,0.0
PA183,float64,823967,348119,29.7,70.3,17,0.0
IC174,float64,823967,348119,29.7,70.3,41,0.0
ST005,float64,823967,348119,29.7,70.3,5,0.75
PA042,float64,823967,348119,29.7,70.3,6,0.0
WB165,float64,823967,348119,29.7,70.3,4,1.0
IC171,float64,823967,348119,29.7,70.3,168,0.0
ST038,float64,823967,348119,29.7,70.3,49,0.0
ST255,float64,823967,348119,29.7,70.3,11,0.6666666666666666
COBN_S,float64,823967,348119,29.7,70.3,279,52800.0
WB154,float64,823967,348119,29.7,70.3,37,2.0
OCOD3,float64,823967,348119,29.7,70.3,756,9999.0
ST034,float64,823967,348119,29.7,70.3,30,2.333333333333333
IC173,float64,823967,348119,29.7,70.3,156,0.0
OCOD2,float64,823967,348119,29.7,70.3,774,2212.0
OCOD1,float64,823967,348119,29.7,70.3,773,3256.0
ST003D02T,float64,1140384,31702,2.7,97.3,12,2.0
ST003D03T,float64,1156567,15519,1.32,98.68,7,2007.0
LANGTEST_QQQ,float64,1156728,15358,1.31,98.69,60,322.0
AGE,float64,1168818,3268,0.28,99.72,17,15.75
STRATUM,object,1172086,0,0.0,100.0,2731,NLD06
CNT,object,1172086,0,0.0,100.0,98,NLD
CNTRYID,float64,1172086,0,0.0,100.0,99,528.0
CNTSCHID,float64,1172086,0,0.0,100.0,28078,52800132.0
CNTSTUID,float64,1172086,0,0.0,100.0,768447,52801144.0
CYC,object,1172086,0,0.0,100.0,3,08MS
NatCen,int64,1172086,0,0.0,100.0,96,52800
LANGTEST_COG,float64,1172086,0,0.0,100.0,62,322.0
SUBNATIO,int64,1172086,0,0.0,100.0,123,5280000
OECD,float64,1172086,0,0.0,100.0,3,1.0
ST001D01T,float64,1172086,0,0.0,100.0,10,10.0
ST004D01T,float64,1172037,49,0.0,100.0,2,1.0
Year,int64,1172086,0,0.0,100.0,3,2022
ADMINMODE,float64,1172086,0,0.0,100.0,2,2.0
Unnamed: 0,int64,1172086,0,0.0,100.0,1172086,384002
